TIMESTAMP;TASK_INSTANCE_ID;NAME;ORDER_NUM;ELAPSED_TIME
54:29,9;1;bottom;1;
54:32,9;1;piston;2;3012
54:38,0;1;small_spring;3;5045
54:41,6;1;cap;4;3626
55:13,0;1;hex_screw_1;5;31337
55:29,6;1;hex_screw_2;6;16681
55:44,8;1;valve;7;15121
55:52,2;1;top;8;7420
55:55,8;1;hex_piston;9;3581
56:03,9;1;large_spring;10;8159
57:13,9;1;screw_1;11;69992
57:31,1;1;scew_2;12;17180
57:43,4;1;scew_3;13;12297
57:56,6;1;scew_4;14;13262
58:10,8;1;ring;15;14111
58:20,9;1;dummy_piston;16;10159
58:49,7;2;bottom;1;
58:53,5;2;piston;2;3792
59:00,5;2;small_spring;3;6999
59:00,5;2;cap;4;69
59:16,0;2;hex_screw_1;5;15431
59:40,3;2;hex_screw_2;6;24290
00:02,1;2;valve;7;21884
00:11,8;2;top;8;9621
00:15,1;2;hex_piston;9;3283
00:21,3;2;large_spring;10;6279
00:33,1;2;screw_1;11;11758
00:48,8;2;scew_2;12;15666
01:00,0;2;scew_3;13;11203
01:09,8;2;scew_4;14;9862
01:24,1;2;ring;15;14295
01:35,6;2;dummy_piston;16;11513
01:56,7;3;bottom;1;
01:59,2;3;piston;2;2549
02:11,7;3;small_spring;3;12494
02:15,7;3;cap;4;4021
02:26,7;3;hex_screw_1;5;11011
02:42,5;3;hex_screw_2;6;15763
02:53,7;3;valve;7;11186
02:59,3;3;top;8;5646
03:02,3;3;hex_piston;9;2978
03:08,2;3;large_spring;10;5894
03:18,3;3;screw_1;11;10137
03:47,6;3;scew_2;12;29283
04:04,9;3;scew_3;13;17309
04:19,0;3;scew_4;14;14113
04:25,9;3;ring;15;6828
04:45,5;3;dummy_piston;16;19607
05:09,5;4;bottom;1;
05:14,4;4;piston;2;4886
05:17,9;4;small_spring;3;3547
05:18,0;4;cap;4;82
05:33,6;4;hex_screw_1;5;15574
05:46,2;4;hex_screw_2;6;12623
06:00,8;4;valve;7;14567
06:13,3;4;top;8;12492
06:16,8;4;hex_piston;9;3485
06:22,2;4;large_spring;10;5401
06:26,6;4;screw_1;11;4465
06:48,7;4;scew_2;12;22074
06:59,5;4;scew_3;13;10844
07:09,6;4;scew_4;14;10101
07:24,2;4;ring;15;14526
07:32,8;4;dummy_piston;16;8590
07:50,5;5;bottom;1;
07:53,0;5;piston;2;2531
07:57,6;5;small_spring;3;4609
08:08,4;5;cap;4;10828
08:23,3;5;hex_screw_1;5;14835
08:59,9;5;hex_screw_2;6;36584
09:14,3;5;valve;7;14397
09:19,6;5;top;8;5319
09:22,5;5;hex_piston;9;2882
09:27,2;5;large_spring;10;4761
09:40,3;5;screw_1;11;13103
09:57,8;5;scew_2;12;17478
10:10,6;5;scew_3;13;12832
10:21,2;5;scew_4;14;10584
10:32,6;5;ring;15;11354
10:39,9;5;dummy_piston;16;7346
11:05,3;6;bottom;1;
11:07,3;6;piston;2;2025
11:11,6;6;small_spring;3;4258
11:14,8;6;cap;4;3257
11:25,1;6;hex_screw_1;5;10220
11:37,7;6;hex_screw_2;6;12611
11:57,0;6;valve;7;19304
12:03,2;6;top;8;6197
12:06,2;6;hex_piston;9;3074
12:11,0;6;large_spring;10;4723
12:21,9;6;screw_1;11;10949
12:41,7;6;scew_2;12;19819
12:53,5;6;scew_3;13;11748
13:03,4;6;scew_4;14;9915
13:15,3;6;ring;15;11895
13:25,1;6;dummy_piston;16;9784
13:55,1;7;bottom;1;
13:57,1;7;piston;2;2040
14:01,7;7;small_spring;3;4613
14:05,0;7;cap;4;3220
14:16,9;7;hex_screw_1;5;11907
14:36,4;7;hex_screw_2;6;19500
14:54,8;7;valve;7;18453
15:00,8;7;top;8;5954
15:03,8;7;hex_piston;9;2988
15:08,6;7;large_spring;10;4848
